Timestamp,Runnable,Swap-in,pswitch,syscall,read,write,fork,exec,sem,msg
07-DEC-2012 13:19:42,3.0,-1.0,3982.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:43,2.0,-1.0,4347.7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:44,2.0,-1.0,4242.4,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:45,2.0,-1.0,5036.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:46,4.0,-1.0,4049.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:47,1.0,-1.0,4591.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:48,1.0,-1.0,3744.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:49,2.0,-1.0,3830.7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:50,7.0,-1.0,47853.8,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:51,9.0,-1.0,191180.6,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:52,6.0,-1.0,139551.1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:53,1.0,-1.0,14275.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:54,2.0,-1.0,3644.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:55,1.0,-1.0,5396.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:56,2.0,-1.0,5686.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:57,2.0,-1.0,5194.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:58,2.0,-1.0,21291.4,-1.0,-1.0,-1.0,18.9,-1.0,-1.0,-1.0
07-DEC-2012 13:20:02,1.0,-1.0,1436.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:03,3.0,-1.0,4334.2,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:04,1.0,-1.0,12412.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:20:07,1.0,-1.0,1572.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
